No	Venue12	Order12	Spot12	Venue34	Order34	Spot34
2A(01)	3F教室	1	1	3I教室	6	1
2A(02)	CoTan C4	1	1	CoTan C5	5	1
2A(03)	CoTan C5	1	1	CoTan C2	5	1
2A(04)	情報3	1	1	情報3	5	1
2A(05)	3I教室	1	1	CoTan C2	7	1
2A(06)	3G教室	1	1	情報3	7	1
2A(07)	CoTan C4	1	1	CoTan C5	5	1
2A(08)	総合C	1	1	3D教室	7	1
2A(09)	CoTan C2	1	1	3D教室	5	1
2A(10)	3H教室	1	1	CoTan C4	7	1
2A(11)	CoTan C5	1	1	CoTan C2	5	1
2A(12)	CoTan C4	1	1	CoTan C5	5	1
2A(13)	総合D	1	1	3A教室	5	1
2A(14)	CoTan C5	2	1	3G教室	5	1
2A(15)	CoTan C4	1	1	CoTan C5	5	1
2A(16)	情報3	2	1	3F教室	5	1
2A(17)	CoTan C5	1	1	CoTan C2	5	1
2A(18)	CoTan C2	2	1	3I教室	5	1
2A(19)	CoTan C4	2	1	CoTan C2	6	1
2A(20)	3C教室	2	1	情報3	6	1
2A(21)	CoTan C1	1	1	3D教室	6	1
2A(22)	情報3	1	1	情報3	5	1
2A(23)						
2A(24)	情報3	1	1	情報3	5	1
2A(25)	3D教室	1	1	CoTan C4	6	1
2A(26)	情報3	1	1	情報3	5	1
2A(27)	CoTan C5	1	1	CoTan C2	5	1
2A(28)	3C教室	1	1	CoTan C4	5	1
2A(29)	CoTan C4	1	1	CoTan C5	5	1
2A(30)	CoTan C2	1	1	3D教室	5	1
2A(31)	3C教室	1	1	CoTan C4	5	1
2A(32)	CoTan C4	1	1	CoTan C5	5	1
2A(33)	3C教室	1	1	CoTan C4	5	1
2B(01)	CoTan C1	2	1	3E教室	5	1
2B(02)	3E教室	2	1	3A教室	7	1
2B(03)	3D教室	2	1	3A教室	6	1
2B(04)	3A教室	2	1	3G教室	7	1
2B(05)	3E教室	1	1	3B教室	5	1
2B(06)	3B教室	2	1	3F教室	7	1
2B(07)	3D教室	2	1	3A教室	6	1
2B(08)	3F教室	3	1	総合D	6	1
2B(09)	3A教室	1	1	3G教室	6	1
2B(10)	3I教室	3	1	CoTan C1	5	1
2B(11)	3B教室	1	1	総合C	5	1
2B(12)	3G教室	3	1	3C教室	5	1
2B(13)	3F教室	2	1	3F教室	6	1
2B(14)	3I教室	2	1	3H教室	5	1
2B(15)	3G教室	2	1	3I教室	7	1
2B(16)	3E教室	1	1	3B教室	5	1
2B(17)	3F教室	2	1	3F教室	6	1
2B(18)	総合C	3	1	CoTan C5	6	1
2B(19)	3H教室	2	1	3E教室	6	1
2B(20)	3E教室	1	1	3B教室	5	1
2B(21)	3F教室	2	1	3F教室	6	1
2B(22)	3B教室	1	1	総合C	5	1
2B(23)	3A教室	1	1	3G教室	6	1
2B(24)	総合C	2	1	総合D	5	1
2B(25)	3I教室	2	1	3H教室	5	1
2B(26)	3I教室	2	1	3H教室	5	1
2B(27)	3G教室	2	1	3I教室	7	1
2B(28)	総合C	2	1	総合D	5	1
2B(29)	3G教室	2	1	3I教室	7	1
2B(30)	3D教室	2	1	3A教室	6	1
2B(31)	3G教室	2	1	3I教室	7	1
2B(32)	3B教室	1	1	総合C	5	1
2B(33)						
2B(34)	総合D	2	1	3B教室	6	1
2B(35)	3F教室	2	1	3F教室	6	1
2B(36)	CoTan C1	2	1	3E教室	5	1
2B(37)	3A教室	1	1	3G教室	6	1
2C(07)	CoTan C5	3	1	総合C	6	1
2C(08)	情報3	3	1	3H教室	6	1
2C(10)	3H教室	3	1	CoTan C2	5	2
2C(12)	CoTan C2	3	1	総合D	7	1
2C(15)	総合D	3	1	CoTan C1	6	1
2C(19)	3H教室	3	1	CoTan C2	5	2
2C(28)	CoTan C4	3	1	CoTan C1	7	1
2C(29)	総合D	3	1	CoTan C1	6	1
2C(32)	3C教室	3	1	3C教室	6	1
2C(40)	CoTan C1	3	1	CoTan C5	7	1
2C(41)	3D教室	3	1	3E教室	7	1
2G(12)	CoTan C5	1	2	CoTan C1	5	2
2G(16)	CoTan C5	1	2	CoTan C1	5	2
2G(35)	CoTan C5	1	2	CoTan C1	5	2
2H(12)	3E教室	3	1	3B教室	7	1
2H(13)	情報3	1	2	3C教室	7	1
2H(21)	3A教室	3	1	総合C	7	1
2H(22)	3B教室	3	1	3H教室	7	1
2C(01)	3F教室	1	2	3A教室	6	2
2C(02)	3I教室	1	2	3H教室	5	2
2C(03)	3G教室	1	2	情報3	5	2
2C(04)	総合C	1	2	3E教室	5	2
2C(05)	3H教室	1	2	3F教室	6	2
2C(06)	総合D	1	2	CoTan C1	6	2
2C(09)	CoTan C5	2	2	3G教室	5	2
2C(11)	情報3	2	2	総合D	5	2
2C(13)	CoTan C2	1	2	3D教室	5	2
2C(14)	CoTan C4	1	2	3B教室	5	2
