No	Venue1	Table1	Seat1	Venue2	Table2	Seat2	Venue3	Table3	Seat3	Venue4	Table4	Seat4
2A(01)	CoTan大教室			CoTan大教室			CoTan C1	1	1	1-E	1	1
2A(02)	CoTan C1	1	1	1-E	1	1	CoTan大教室			CoTan大教室		
2A(03)	CoTan大教室			CoTan大教室			CoTan C2	1	1	1-F	1	1
2A(04)	CoTan C2	1	1	1-F	1	1	CoTan大教室			CoTan大教室		
2A(05)	CoTan大教室			CoTan大教室			1-A	1	1	1-G	1	1
2A(06)	1-A	1	1	1-G	1	1	CoTan大教室			CoTan大教室		
2A(07)	CoTan大教室			CoTan大教室			1-B	1	1	1-H	1	1
2A(08)	1-B	1	1	1-H	1	1	CoTan大教室			CoTan大教室		
2A(09)	CoTan大教室			CoTan大教室			1-C	1	1	1-I	1	1
2A(10)	1-C	1	1	1-I	1	1	CoTan大教室			CoTan大教室		
2A(11)	CoTan大教室			CoTan大教室			1-D	1	1	1-J	1	1
2A(12)	1-D	1	1	1-J	1	1	CoTan大教室			CoTan大教室		
2A(13)	CoTan大教室			CoTan大教室			1-E	1	1	CoTan C1	2	1
2A(14)	1-E	1	1	CoTan C1	2	1	CoTan大教室			CoTan大教室		
2A(16)	CoTan大教室			CoTan大教室			1-F	1	1	CoTan C2	2	1
2A(17)	1-F	1	1	CoTan C2	2	1	CoTan大教室			CoTan大教室		
2A(18)	CoTan大教室			CoTan大教室			1-G	1	1	1-A	2	1
2A(19)	1-G	1	1	1-A	2	1	CoTan大教室			CoTan大教室		
2A(20)	CoTan大教室			CoTan大教室			1-H	1	1	1-B	2	1
2A(22)	1-H	1	1	1-B	2	1	CoTan大教室			CoTan大教室		
2A(23)	CoTan大教室			CoTan大教室			1-I	1	1	1-C	2	1
2A(24)	1-I	1	1	1-C	2	1	CoTan大教室			CoTan大教室		
2A(25)	CoTan大教室			CoTan大教室			1-J	1	1	1-D	2	1
2A(26)	1-J	1	1	1-D	2	1	CoTan大教室			CoTan大教室		
2A(27)	CoTan大教室			CoTan大教室			CoTan C1	2	1	1-E	2	1
2A(28)	CoTan C1	2	1	1-E	2	1	CoTan大教室			CoTan大教室		
2A(29)	CoTan大教室			CoTan大教室			CoTan C2	2	1	1-F	2	1
2A(30)	CoTan C2	2	1	1-F	2	1	CoTan大教室			CoTan大教室		
2A(31)	CoTan大教室			CoTan大教室			1-A	2	1	1-G	2	1
2A(32)	1-A	2	1	1-G	2	1	CoTan大教室			CoTan大教室		
2A(33)	CoTan大教室			CoTan大教室			1-B	2	1	1-H	2	1
2A(34)	1-B	2	1	1-H	2	1	CoTan大教室			CoTan大教室		
2A(35)	CoTan大教室			CoTan大教室			1-C	2	1	1-I	2	1
2A(36)	1-C	2	1	1-I	2	1	CoTan大教室			CoTan大教室		
2B(01)	CoTan大教室			CoTan大教室			1-D	2	1	1-J	2	1
2B(02)	1-D	2	1	1-J	2	1	CoTan大教室			CoTan大教室		
2B(03)	CoTan大教室			CoTan大教室			1-E	2	1	CoTan C1	3	1
2B(04)	1-E	2	1	CoTan C1	3	1	CoTan大教室			CoTan大教室		
2B(05)	CoTan大教室			CoTan大教室			1-F	2	1	CoTan C2	3	1
2B(06)	1-F	2	1	CoTan C2	3	1	CoTan大教室			CoTan大教室		
2B(07)	CoTan大教室			CoTan大教室			1-G	2	1	1-A	3	1
2B(08)	1-G	2	1	1-A	3	1	CoTan大教室			CoTan大教室		
2B(09)	CoTan大教室			CoTan大教室			1-H	2	1	1-B	3	1
2B(10)	1-H	2	1	1-B	3	1	CoTan大教室			CoTan大教室		
2B(11)	CoTan大教室			CoTan大教室			1-I	2	1	1-C	3	1
2B(12)	1-I	2	1	1-C	3	1	CoTan大教室			CoTan大教室		
2B(13)	CoTan大教室			CoTan大教室			1-J	2	1	1-D	3	1
2B(14)	1-J	2	1	1-D	3	1	CoTan大教室			CoTan大教室		
2B(15)	CoTan大教室			CoTan大教室			CoTan C1	3	1	1-E	3	1
2B(16)	CoTan C1	3	1	1-E	3	1	CoTan大教室			CoTan大教室		
2B(17)	CoTan大教室			CoTan大教室			CoTan C2	3	1	1-F	3	1
2B(18)	CoTan C2	3	1	1-F	3	1	CoTan大教室			CoTan大教室		
2B(19)	CoTan大教室			CoTan大教室			1-A	3	1	1-G	3	1
2B(20)	1-A	3	1	1-G	3	1	CoTan大教室			CoTan大教室		
2G(15)	CoTan大教室			CoTan大教室			1-B	3	1	1-H	3	1
2G(16)	1-B	3	1	1-H	3	1	CoTan大教室			CoTan大教室		
2G(18)	CoTan大教室			CoTan大教室			1-C	3	1	1-I	3	1
2G(27)	1-C	3	1	1-I	3	1	CoTan大教室			CoTan大教室		
2G(32)	CoTan大教室			CoTan大教室			1-D	3	1	1-J	3	1
2H(02)	1-D	3	1	1-J	3	1	CoTan大教室			CoTan大教室		
2C(01)	CoTan大教室			CoTan大教室			1-E	3	1	CoTan C1	4	1
2C(02)	1-E	3	1	CoTan C1	4	1	CoTan大教室			CoTan大教室		
2C(03)	CoTan大教室			CoTan大教室			1-F	3	1	CoTan C2	4	1
2C(05)	1-F	3	1	CoTan C2	4	1	CoTan大教室			CoTan大教室		
2C(06)	CoTan大教室			CoTan大教室			1-G	3	1	1-A	4	1
2C(07)	1-G	3	1	1-A	4	1	CoTan大教室			CoTan大教室		
2C(09)	CoTan大教室			CoTan大教室			1-H	3	1	1-B	4	1
2C(10)	1-H	3	1	1-B	4	1	CoTan大教室			CoTan大教室		
2C(12)	CoTan大教室			CoTan大教室			1-I	3	1	1-C	4	1
2C(13)	1-I	3	1	1-C	4	1	CoTan大教室			CoTan大教室		
2C(14)	CoTan大教室			CoTan大教室			1-J	3	1	1-D	4	1
2C(15)	1-J	3	1	1-D	4	1	CoTan大教室			CoTan大教室		
2C(16)	CoTan大教室			CoTan大教室			CoTan C1	4	1	1-E	4	1
2C(17)	CoTan C1	4	1	1-E	4	1	CoTan大教室			CoTan大教室		
2C(18)	CoTan大教室			CoTan大教室			CoTan C2	4	1	1-F	4	1
2C(19)	CoTan C2	4	1	1-F	4	1	CoTan大教室			CoTan大教室		
2C(20)	CoTan大教室			CoTan大教室			1-A	4	1	1-G	4	1
2C(22)	1-A	4	1	1-G	4	1	CoTan大教室			CoTan大教室		
2C(23)	CoTan大教室			CoTan大教室			1-B	4	1	1-H	4	1
2C(24)	1-B	4	1	1-H	4	1	CoTan大教室			CoTan大教室		
2C(25)	CoTan大教室			CoTan大教室			1-C	4	1	1-I	4	1
2C(26)	1-C	4	1	1-I	4	1	CoTan大教室			CoTan大教室		
2C(27)	CoTan大教室			CoTan大教室			1-D	4	1	1-J	4	1
2C(28)	1-D	4	1	1-J	4	1	CoTan大教室			CoTan大教室		
2C(29)	CoTan大教室			CoTan大教室			1-E	4	1	CoTan C1	5	1
2C(30)	1-E	4	1	CoTan C1	5	1	CoTan大教室			CoTan大教室		
2C(31)	CoTan大教室			CoTan大教室			1-F	4	1	CoTan C2	5	1
2C(32)	1-F	4	1	CoTan C2	5	1	CoTan大教室			CoTan大教室		
2C(33)	CoTan大教室			CoTan大教室			1-G	4	1	1-A	5	1
2C(34)	1-G	4	1	1-A	5	1	CoTan大教室			CoTan大教室		
2C(35)	CoTan大教室			CoTan大教室			1-H	4	1	1-B	5	1
2C(36)	1-H	4	1	1-B	5	1	CoTan大教室			CoTan大教室		
2D(01)	CoTan大教室			CoTan大教室			1-I	4	1	1-C	5	1
2D(02)	1-I	4	1	1-C	5	1	CoTan大教室			CoTan大教室		
2D(03)	CoTan大教室			CoTan大教室			1-J	4	1	1-D	5	1
2D(04)	1-J	4	1	1-D	5	1	CoTan大教室			CoTan大教室		
2D(05)	CoTan大教室			CoTan大教室			CoTan C1	5	1	1-E	5	1
2D(06)	CoTan C1	5	1	1-E	5	1	CoTan大教室			CoTan大教室		
2D(07)	CoTan大教室			CoTan大教室			CoTan C2	5	1	1-F	5	1
2D(09)	CoTan C2	5	1	1-F	5	1	CoTan大教室			CoTan大教室		
2D(10)	CoTan大教室			CoTan大教室			1-A	5	1	1-G	5	1
2D(11)	1-A	5	1	1-G	5	1	CoTan大教室			CoTan大教室		
2D(12)	CoTan大教室			CoTan大教室			1-B	5	1	1-H	5	1
2D(13)	1-B	5	1	1-H	5	1	CoTan大教室			CoTan大教室		
2D(14)	CoTan大教室			CoTan大教室			1-C	5	1	1-I	5	1
2D(15)	1-C	5	1	1-I	5	1	CoTan大教室			CoTan大教室		
2D(16)	CoTan大教室			CoTan大教室			1-D	5	1	1-J	5	1
2D(17)	1-D	5	1	1-J	5	1	CoTan大教室			CoTan大教室		
2D(18)	CoTan大教室			CoTan大教室			1-E	5	1	CoTan C1	6	1
2D(19)	1-E	5	1	CoTan C1	6	1	CoTan大教室			CoTan大教室		
